date,species,band,rbc,whole,hb
28-Mar-17,SWWA,2631-02506,22.34,39.66,
28-Mar-17,AMRE,2670-12382,14.6,36.1,
28-Mar-17,AMRE,2770-43282,13.26,30.98,
28-Mar-17,AMRE,2770-43283,5.91,13.8,15.2
28-Mar-17,AMRE,2670-21435,21.38,54.06,19.6
28-Mar-17,AMRE,2670-21436,11.82,28.88,
28-Mar-17,AMRE,2550-39498,12.35,34.8,8.88
28-Mar-17,AMRE,2670-21581,7.13,17.37,
28-Mar-17,SWWA,2550-39490,20.27,45.18,13.9
28-Mar-17,AMRE,2570-44991,15.16,33.84,13.8
28-Mar-17,AMRE,2670-21437,NA,,8.9
29-Mar-17,AMRE,2570-44140,4.43,10.63,12.1
29-Mar-17,AMRE,2550-39500,6.62,21.42,
29-Mar-17,SWWA,2631-02722,16.09,36.05,15.6
29-Mar-17,AMRE,2670-21440,13.38,31.88,
19-Mar-17,OVEN,2401-59585,NA,,14.975
19-Mar-17,OVEN,2401-59586,NA,,14.875
20-Mar-17,AMRE,2570-44951,NA,,14.5
20-Mar-17,OVEN,2401-59587,NA,,16.3
19-Mar-17,OVEN,2401-59583,NA,,15.16666667
30-Mar-17,AMRE,2670-12375,16.53,38.8,14.56666667
30-Mar-17,AMRE,2670-21443,11.91,31.25,
30-Mar-17,SWWA,2631-02726,19.34,36.89,17.08333333
1-Apr-17,AMRE,2670-21598,11.84,25.77,
1-Apr-17,AMRE,2770-43330,10.25,22.22,
2-Apr-17,OVEN,2631-02583,11.54,25.61,15.36666667
2-Apr-17,AMRE,2670-21445,16.07,38.86,8.4
3-Apr-17,AMRE,2670-12385,17.36,40.41,14.06666667
3-Apr-17,AMRE,2570-44295,NA,,14.73333333
3-Apr-17,OVEN,2521-57370,NA,,16.16666667
3-Apr-17,OVEN,2690-96203,NA,,14.43333333
3-Apr-17,AMRE,2670-21447,13.91,30.29,
3-Apr-17,AMRE,2550-39485,15.81,34.8,11.425
5-Apr-17,AMRE,2670-21711,14.52,34.26,14.5
5-Apr-17,AMRE,2680-14297,9.38,22.36,15.03333333
5-Apr-17,AMRE,2680-14265,7.58,17.95,15.76666667
5-Apr-17,AMRE,2670-21573,14.2,32.41,15.6
5-Apr-17,OVEN,2521-45176,17.91,40.75,16.1
5-Apr-17,AMRE,2670-21401,8.64,19.35,14.63333333
5-Apr-17,AMRE,2570-44141,10.79,26.86,14.33333333
6-Apr-17,OVEN,2521-45182,11.79,28.6,14.3
6-Apr-17,AMRE,2670-12384,10.35,22.59,15.1
6-Apr-17,AMRE,2670-21579,9.19,20.36,15.16666667
6-Apr-17,AMRE,2570-44142,NA,,17.03333333
8-Apr-17,AMRE,2570-44143,10.26,24.85,15.15
8-Apr-17,AMRE,2570-44402,10.9,25.63,15.43333333
8-Apr-17,AMRE,2670-21569,NA,,17.46666667
9-Apr-17,AMRE,2670-21570,10.18,22.4,15.35
9-Apr-17,AMRE,2550-39479,12.28,27.63,15.3
9-Apr-17,OVEN,2521-45139,4.89,12.17,14.65
9-Apr-17,OVEN,2521-45140,19.94,47.62,14.775
10-Apr-17,OVEN,2521-45176,11.61,26.57,15.4
10-Apr-17,OVEN,2631-03013,14.58,38.06,13.025
10-Apr-17,AMRE,2770-40613,20.58,46.92,15.46
10-Apr-17,OVEN,2391-69105,6.33,13.86,16.025
10-Apr-17,OVEN,2401-30464,16.76,38.73,15.625
10-Apr-17,OVEN,2631-02583,16.61,40.51,14.575
10-Apr-17,AMRE,2680-14499,9.37,19.44,14.55
11-Apr-17,OVEN,2591-27509,21.02,43.53,17.1
11-Apr-17,OVEN,2631-03003,13.54,18.51,14.867
11-Apr-17,OVEN,2591-27510,11.76,25.32,16.1
11-Apr-17,OVEN,2591-27511,10.31,21.54,16.867
11-Apr-17,AMRE,2550-39494,16,37.41,15.225
11-Apr-17,OVEN,2401-59734,13.96,30.19,16.625
12-Apr-17,AMRE,2570-44139,9.42,20.88,
12-Apr-17,SWWA,2631-02833,22.92,41.92,21.175
13-Apr-17,AMRE,2570-44919,4.4,11.27,
13-Apr-17,AMRE,2570-44138,10.79,24.02,
13-Apr-17,AMRE,2570-44137,19.45,44.52,
15-Apr-17,AMRE,2570-44136,11.41,24.88,
15-Apr-17,AMRE,2570-44135,11.82,27.31,
15-Apr-17,AMRE,2570-44132,17.61,39.73,
15-Apr-17,AMRE,2570-44131,15.08,34.33,
17-Apr-17,AMRE,2570-44243,5,10.73,15.125
17-Apr-17,AMRE,2570-44242,9.79,20.91,16.6
19-Apr-17,AMRE,2570-44243,14.28,30.75,15.475
22-Apr-17,AMRE,2680-14420,18.05,42.95,15.9
22-Apr-17,AMRE,2570-44402,7.72,18.91,14.26666667
23-Apr-17,AMRE,2570-44119,,,14.63333333
24-Apr-17,AMRE,2670-21419,11.54,23.11,
24-Apr-17,AMRE,2680-14271,7.76,14.62,
24-Apr-17,AMRE,2570-44118,2.7,6.93,15.26666667
25-Apr-17,AMRE,2670-21403,13.1,27.63,19.35
25-Apr-17,AMRE,2670-21413,17.22,38.02,13.33333333
25-Apr-17,AMRE,2570-44989,7.04,16.52,12.6
25-Apr-17,AMRE,2550-40074,14.16,29.98,15.2
26-Apr-17,AMRE,2770-43283,,,16.03333333
26-Apr-17,AMRE,2570-44116,7.12,17.27,15.8
26-Apr-17,AMRE,2680-14272,2.81,6.25,16.9
26-Apr-17,AMRE,2670-21451,9.08,19.18,15.16666667
26-Apr-17,AMRE,2670-21452,8.83,21.73,15.6
26-Apr-17,AMRE,2670-21453,20.36,40.65,17.425
26-Apr-17,AMRE,2670-21454,7.72,18.75,15.16666667
27-Apr-17,AMRE,2670-21412,5.71,11.56,18.53333333
